Symbol,Company,Sector
AEM.TO,Agnico Eagle Mines Limited,Materials
AGU.TO,Agrium Inc.,Materials
ATD-B.TO,Alimentation Couche-Tard Inc.,Consumer Staples
ARX.TO,ARC Resources Ltd.,Energy
BMO.TO,Bank of Montreal,Financials
BNS.TO,Bank of Nova Scotia,Financials
ABX.TO,Barrick Gold Corporation,Materials
BCE.TO,BCE Inc.,Telecommunication Services
BB.TO,BlackBerry Limited,Information Technology
BBD-B.TO,Bombardier Inc.,Industrials
BAM-A.TO,Brookfield Asset Management Inc.,Financials
CCO.TO,Cameco Corporation,Energy
CM.TO,Canadian Imperial Bank of Commerce,Financials
CNR.TO,Canadian National Railway Company,Industrials
CNQ.TO,Canadian Natural Resources Limited,Energy
CP.TO,Canadian Pacific Railway Limited,Industrials
CTC-A.TO,”Canadian Tire Corporation Limited",Consumer Discretionary
CVE.TO,Cenovus Energy Inc.,Energy
GIB-A.TO,CGI Group Inc.,Information Technology
CSU.TO,Constellation Software Inc.,Information Technology
CPG.TO,Crescent Point Energy Corp.,Energy
DOL.TO,Dollarama Inc.,Consumer Discretionary
ELD.TO,Eldorado Gold Corporation,Materials
EMA.TO,Emera Incorporated,Utilities
ENB.TO,Enbridge Inc.,Energy
ECA.TO,Encana Corporation,Energy
FM.TO,First Quantum Minerals Ltd.,Materials
FTS.TO,Fortis Inc.,Utilities
FNV.TO,Franco-Nevada Corporation,Materials
WN.TO,George Weston Limited,Consumer Staples
GIL.TO,Gildan Activewear Inc.,Consumer Discretionary
G.TO,Goldcorp Inc.,Materials
HSE.TO,Husky Energy Inc.,Energy
IMO.TO,Imperial Oil Limited,Energy
IPL.TO,Inter Pipeline Ltd.,Energy
K.TO,Kinross Gold Corporation,Materials
L.TO,Loblaw Companies Limited,Consumer Staples
MG.TO,Magna International Inc.,Consumer Discretionary
MFC.TO,Manulife Financial Corporation,Financials
MRU.TO,Metro Inc.,Consumer Staples
NA.TO,National Bank of Canada,Financials
PPL.TO,Pembina Pipeline Corporation,Energy
POT.TO,Potash Corporation of Saskatchewan Inc.,Materials
POW.TO,Power Corporation of Canada,Financials
QSR.TO,Restaurant Brands International Inc.,Consumer Discretionary
RCI-B,Rogers Communications Inc.,Telecommunication Services
RY.TO,Royal Bank of Canada,Financials
SAP.TO,Saputo Inc.,Consumer Staples
SJR-B.TO,Shaw Communications Inc.,Telecommunication Services
SLW.TO,Silver Wheaton Corp.,Materials
SNC.TO,SNC-Lavalin Group Inc.,Industrials
SLF.TO,Sun Life Financial Inc.,Financials
SU.TO,Suncor Energy Inc.,Energy
TCK-B.TO,Teck Resources Limited,Materials
T.TO,Telus Corporation,Telecommunication Services
TRI.TO,Thomson Reuters Corporation,Consumer Discretionary
TD.TO,Toronto-Dominion Bank,Financials
TRP.TO,TransCanada Corporation,Energy
VRX.TO,"Valeant Pharmaceuticals International, Inc.",Health Care
YRI.TO,Yamana Gold Inc.,Materials
